claim_id,time_to_close,claim_amount,amount_paid,location,individuals_on_claim,linked_cases,cause
0127,175,R$ 14773.84,12590.41,RECIFE,4,TRUE,unknown
0128,185,R$ 21319.18,17188.55,FORTALEZA,11,FALSE,vegetable
0129,127,R$ 19563.12,17801.84,RECIFE,7,FALSE,meat
0130,108,R$ 5122.45,3864.18,RECIFE,2,NA,meat
0131,218,R$ 21417.21,17553.64,SAO LUIS,12,FALSE,VEGETABLES
0132,229,R$ 49996.77,33844.26,SAO LUIS,10,FALSE,unknown
0133,167,R$ 25832.5,25051.57,RECIFE,10,FALSE, Meat
0134,248,R$ 62374.58,45571.01,RECIFE,13,FALSE,unknown
0135,238,R$ 39373.74,35577.66,SAO LUIS,14,FALSE,meat
0136,179,R$ 26052.69,18925.55,NATAL,13,TRUE,vegetable
0137,167,R$ 5272.65,4017.67,RECIFE,1,TRUE,unknown
0138,144,R$ 27394.44,22478.67,RECIFE,15,FALSE,vegetable
0139,118,R$ 21315.28,14673.73,RECIFE,10,FALSE,vegetable
0140,102,R$ 8099.37,5889.6,RECIFE,2,FALSE,unknown
0141,143,R$ 43598.52,42845.72,RECIFE,12,FALSE,unknown
0142,172,R$ 31238.96,26644.35,RECIFE,11,TRUE,meat
0143,175,R$ 8456.7,6520.26,SAO LUIS,2,TRUE,unknown
0144,133,R$ 4845.03,4073.49,RECIFE,2,FALSE,meat
0145,186,R$ 31809.16,27679.64,NATAL,11,TRUE,meat
0146,178,R$ 30765.72,28749.82,RECIFE,11,FALSE,meat
0147,227,R$ 29914.28,22044.84,RECIFE,9,FALSE,meat
0148,168,R$ 23185.21,18800.69,SAO LUIS,5,FALSE,unknown
0149,182,R$ 28824.94,23075.37,SAO LUIS,7,TRUE,unknown
0150,214,R$ 64683.94,45939.02,SAO LUIS,13,FALSE,unknown
0151,175,R$ 23810.3,17880.28,FORTALEZA,5,FALSE,unknown
0152,176,R$ 22493.91,15524.57,NATAL,6,TRUE,meat
0153,165,R$ 23180.57,22194.52,RECIFE,15,FALSE,VEGETABLES
0154,149,R$ 19395.99,13770.93,RECIFE,9,FALSE,vegetable
0155,190,R$ 48196.5,33724.88,NATAL,10,TRUE,unknown
0156,358,R$ 59348.2,51723.15,RECIFE,15,FALSE,unknown
0157,163,R$ 26015.44,17752.54,RECIFE,7,FALSE,meat
0158,234,R$ 43356.97,37276.63,RECIFE,11,FALSE,unknown
0159,115,R$ 6555.69,5642.1,RECIFE,2,FALSE,unknown
0160,173,R$ 14087.29,13114.61,FORTALEZA,5,TRUE,meat
0161,139,R$ 17181.07,12401.46,NATAL,5,FALSE,meat
0162,171,R$ 8802.57,7357.93,RECIFE,3,FALSE,meat
0163,159,R$ 33754.13,31442.92,RECIFE,13,FALSE,meat
0164,204,R$ 39443.75,27374.16,NATAL,11,FALSE,meat
0165,173,R$ 23937.53,21956.84,SAO LUIS,15,TRUE,vegetable
0166,210,R$ 53075.85,40377.92,RECIFE,12,FALSE,unknown
0167,180,R$ 25599.38,25590.93,FORTALEZA,10,FALSE,meat
0168,144,R$ 11454.23,8817.63,RECIFE,3,FALSE,unknown
0169,158,R$ 19609.24,14325.43,NATAL,10,FALSE,vegetable
0170,139,R$ 7148.97,6593.3,RECIFE,3,FALSE,meat
0171,192,R$ 24799.21,20558.99,RECIFE,8,FALSE,meat
0172,240,R$ 42458.51,29360.39,FORTALEZA,8,FALSE,unknown
0173,145,R$ 5388.66,4661.99,FORTALEZA,2,FALSE, Meat
0174,322,R$ 36079.44,NA,NATAL,12,FALSE,meat
0175,195,R$ 27701.93,21740.82,FORTALEZA,9,FALSE,meat
0176,161,R$ 19842.58,17992.74,FORTALEZA,7,FALSE,meat
0177,186,R$ 32863.61,25068.08,SAO LUIS,7,FALSE,unknown
0178,177,R$ 29002.76,23831.19,FORTALEZA,7,TRUE,unknown
0179,183,R$ 28196.45,NA,SAO LUIS,7,TRUE,unknown
0180,175,R$ 28430.24,21710.85,RECIFE,9,FALSE,meat
0181,158,R$ 14435.43,10931.44,RECIFE,4,FALSE,meat
0182,167,R$ 15367.53,10923.58,RECIFE,7,TRUE,vegetable
0183,180,R$ 34376.49,24227.15,RECIFE,10,TRUE,meat
0184,228,R$ 50516.14,34000.37,RECIFE,14,FALSE,meat
0185,155,R$ 25217.53,21816.49,RECIFE,9,FALSE,meat
0186,182,R$ 55506.68,37680.95,NATAL,11,TRUE,unknown
0187,124,R$ 18180.94,12644.97,SAO LUIS,5,FALSE,meat
0188,237,R$ 49877.45,34785.42,FORTALEZA,14,FALSE,meat
0189,166,R$ 7579.55,7428.36,RECIFE,3,TRUE,meat
0190,118,R$ 14443.34,9777.64,RECIFE,7,FALSE,vegetable
0191,227,R$ 39389.83,26588.99,RECIFE,11,FALSE,meat
0192,162,R$ 21969.47,18637.93,SAO LUIS,7,FALSE,meat
0193,119,R$ 4166.72,3713.34,NATAL,1,FALSE,unknown
0194,207,R$ 19109.9,16913.78,SAO LUIS,5,FALSE,unknown
0195,256,R$ 21493.46,18132.85,RECIFE,7,FALSE,meat
0196,109,R$ 8944.47,8299.1,RECIFE,3,FALSE,meat
0197,174,R$ 8922.96,8039.87,SAO LUIS,5,TRUE,vegetable
0198,194,R$ 15700.36,13837.94,SAO LUIS,4,FALSE,unknown
0199,171,R$ 4552.15,3097.37,SAO LUIS,2,TRUE,vegetable
0200,134,R$ 13877.25,11672.13,RECIFE,5,FALSE,meat
0201,175,R$ 12122.96,9034.93,NATAL,3,TRUE,unknown
0202,131,R$ 16024.95,13172.48,RECIFE,5,FALSE,meat
0203,212,R$ 45410.46,36386.24,RECIFE,15,FALSE,meat
0204,246,R$ 30078.45,20358.3,SAO LUIS,8,FALSE,meat
0205,165,R$ 29185.24,19598.09,RECIFE,6,FALSE,unknown
0206,169,R$ 16342.82,16255.06,SAO LUIS,11,TRUE,vegetable
0207,230,R$ 38209.72,NA,FORTALEZA,10,FALSE,unknown
0208,210,R$ 28843.67,19976.87,NATAL,8,FALSE,meat
0209,163,R$ 15910.19,10780.79,RECIFE,4,FALSE, Meat
0210,217,R$ 39803.13,30271.16,RECIFE,12,FALSE,meat
0211,169,R$ 32409.74,23071.88,RECIFE,9,FALSE,meat
0212,168,R$ 5939.94,4420,FORTALEZA,3,TRUE,vegetable
0213,182,R$ 20564.37,14715.41,NATAL,6,FALSE,meat
0214,262,R$ 30199.27,25593.86,RECIFE,7,FALSE,unknown
0215,292,R$ 68372.47,51458.57,RECIFE,15,FALSE,unknown
0216,345,R$ 70280.33,51765.31,NATAL,15,FALSE,unknown
0217,179,R$ 37996.13,28510.11,RECIFE,8,TRUE,unknown
0218,219,R$ 16755.93,14123.83,RECIFE,4,FALSE,unknown
0219,177,R$ 20206.14,15051.93,RECIFE,10,TRUE,vegetable
0220,174,R$ 14321.78,10948.01,NATAL,4,TRUE,meat
0221,180,R$ 38293.49,35311.41,RECIFE,14,TRUE,meat
0222,225,R$ 43751.12,32755.11,SAO LUIS,9,FALSE,unknown
0223,229,R$ 38783.95,28128.29,NATAL,8,FALSE,unknown
0224,181,R$ 34198.11,26700.32,RECIFE,8,TRUE,unknown
0225,207,R$ 46302.53,34043.25,RECIFE,10,TRUE,unknown
0226,190,R$ 32861.12,24943.65,RECIFE,7,TRUE,unknown
0227,171,R$ 10323.84,7886.84,RECIFE,5,TRUE,vegetable
0228,164,R$ 7997.15,6138.29,RECIFE,2,FALSE,meat
0229,177,R$ 27092.86,19489.91,NATAL,13,TRUE,vegetable
0230,152,R$ 12266.99,10038.94,FORTALEZA,4,FALSE,meat
0231,130,R$ 12995.85,8732.37,NATAL,3,FALSE,meat
0232,180,R$ 45708.79,31451.56,RECIFE,13,TRUE,meat
0233,203,R$ 23871.11,20392.43,RECIFE,14,FALSE,VEGETABLES
0234,170,R$ 7093.27,4843.22,NATAL,2,TRUE,meat
0235,146,R$ 34484.35,23502.71,RECIFE,9,FALSE,meat
0236,184,R$ 44967.11,42071.11,NATAL,12,TRUE,unknown
0237,213,R$ 30028.79,25146.46,FORTALEZA,10,FALSE,meat
0238,137,R$ 5803.14,4380.1,RECIFE,2,FALSE,meat
0239,203,R$ 25329.25,20176.44,RECIFE,8,FALSE, Meat
0240,197,R$ 59009.46,50898.53,SAO LUIS,15,TRUE,unknown
0241,261,R$ 39757.38,30627.14,NATAL,12,FALSE,meat
0242,138,R$ 16463.71,11285.84,RECIFE,5,FALSE,meat
0243,224,R$ 38597.95,37448.56,RECIFE,15,FALSE,meat
0244,143,R$ 19683.35,17584.83,NATAL,7,FALSE,meat
0245,206,R$ 43732.89,33402.41,RECIFE,13,FALSE,meat
0246,182,R$ 31767.73,27523.1,SAO LUIS,11,FALSE,meat
0247,159,R$ 22185.02,21497.17,RECIFE,9,FALSE,meat
0248,171,R$ 12534.72,10854.9,SAO LUIS,4,TRUE,meat
0249,193,R$ 21638.91,15486.7,SAO LUIS,10,NA,vegetable
0250,141,R$ 14885.49,11344.37,RECIFE,5,FALSE,meat
0251,137,R$ 7815.3,7004.43,RECIFE,5,FALSE,vegetable
0252,159,R$ 20161.84,19021.8,SAO LUIS,8,FALSE,meat
0253,179,R$ 11621.49,8529.47,SAO LUIS,6,TRUE,vegetable
0254,267,R$ 25158.26,20472.23,SAO LUIS,8,FALSE,meat
0255,149,R$ 14593.17,10254.81,FORTALEZA,3,FALSE,unknown
0256,164,R$ 17676.86,12202.68,RECIFE,3,FALSE,unknown
0257,325,R$ 34705.08,28400.63,FORTALEZA,11,FALSE,meat
0258,235,R$ 49784.95,34365.44,SAO LUIS,14,FALSE,meat
0259,220,R$ 38476.94,33941.89,SAO LUIS,10,FALSE,unknown
0260,146,R$ 9381.06,8431.38,RECIFE,3,FALSE,meat
0261,184,R$ 19209.45,18128.19,SAO LUIS,12,FALSE,vegetable
0262,171,R$ 32135.14,27843.99,RECIFE,8,FALSE,unknown
0263,293,R$ 55156.43,48861.19,RECIFE,14,FALSE,unknown
0264,193,R$ 30726.17,24351.11,SAO LUIS,7,NA,unknown
0265,182,R$ 40343.58,34289.21,FORTALEZA,14,FALSE,meat
0266,140,R$ 14148.41,11221.81,RECIFE,4,FALSE,meat
0267,181,R$ 17289.1,12169.18,RECIFE,8,TRUE,vegetable
0268,188,R$ 24147.88,17745.28,RECIFE,7,FALSE,meat
0269,178,R$ 15002.63,11935.05,RECIFE,3,TRUE,unknown
0270,244,R$ 33841.53,30086.47,SAO LUIS,12,FALSE,meat
0271,169,R$ 3033.36,2637.94,RECIFE,2,TRUE,vegetable
0272,131,R$ 9310.09,7280.21,RECIFE,3,FALSE,meat
0273,273,R$ 45656.54,31291.38,RECIFE,13,FALSE,meat
0274,171,R$ 8734.76,8147.47,RECIFE,2,TRUE,unknown
0275,171,R$ 4066.72,4010.65,SAO LUIS,3,TRUE,vegetable
0276,318,R$ 49919.72,36350.21,SAO LUIS,15,FALSE,meat
0277,173,R$ 16751.49,12573.11,RECIFE,4,TRUE,unknown
0278,135,R$ 25379.65,18578.5,FORTALEZA,7,FALSE,meat
0279,132,R$ 20286.45,14246.79,RECIFE,4,FALSE,unknown
0280,228,R$ 46582.09,31201.56,RECIFE,9,FALSE,unknown
0281,166,R$ 16214.45,16040.14,FORTALEZA,11,TRUE,vegetable
0282,196,R$ 32379.22,23673.74,SAO LUIS,9,FALSE,meat
0283,277,R$ 32041.49,30510.69,SAO LUIS,12,NA,meat
0284,254,R$ 40297.39,29727.12,RECIFE,8,FALSE,unknown
0285,219,R$ 48902.7,34787.56,RECIFE,10,FALSE,unknown
0286,168,R$ 4441.15,4374.81,SAO LUIS,1,TRUE,unknown
0287,84,R$ 2113.92,2002.67,RECIFE,1,FALSE,vegetable
0288,191,R$ 23879.71,23080.55,RECIFE,9,FALSE,meat
0289,212,R$ 47753.83,42348.68,FORTALEZA,12,FALSE,unknown
0290,219,R$ 34513.08,25671.63,SAO LUIS,10,NA,meat
0291,104,R$ 4954.71,3364.8,FORTALEZA,2,FALSE,vegetable
0292,192,R$ 41166.66,38660.06,RECIFE,11,TRUE,unknown
0293,185,R$ 71839.85,49879.03,NATAL,14,TRUE,unknown
0294,176,R$ 25601.63,22813,NATAL,7,TRUE,unknown
0295,187,R$ 52664.2,50821.91,RECIFE,15,FALSE,unknown
0296,121,R$ 13908.28,12237.07,RECIFE,3,FALSE,unknown
0297,259,R$ 60401.35,42228.8,NATAL,12,FALSE,unknown
0298,197,R$ 25693.14,17551.82,FORTALEZA,7,FALSE,meat
0299,184,R$ 48905.64,42685.1,FORTALEZA,12,TRUE,unknown
0300,178,R$ 28364.25,25018.21,SAO LUIS,7,TRUE,unknown
0301,146,R$ 13532.31,10118.41,FORTALEZA,4,FALSE,meat
0302,171,R$ 37167.47,26132.87,RECIFE,10,FALSE,meat
0303,159,R$ 18349.98,14390.61,FORTALEZA,4,FALSE,unknown
0304,190,R$ 65520.71,47031.55,SAO LUIS,13,TRUE,unknown
0305,182,R$ 37954.05,37489.78,RECIFE,15,TRUE,meat
0306,202,R$ 9600.33,9215.55,NATAL,4,FALSE,meat
0307,168,R$ 12721.45,8922.39,FORTALEZA,6,TRUE,vegetable
0308,245,R$ 34163.03,26474.03,RECIFE,8,FALSE,unknown
0309,341,R$ 59752.64,50888.13,RECIFE,15,FALSE,unknown
0310,164,R$ 41057.15,28696.57,NATAL,8,FALSE,unknown
0311,198,R$ 23132.47,22040.83,SAO LUIS,9,FALSE,meat
0312,169,R$ 15188.55,10559.11,RECIFE,7,TRUE,vegetable
0313,243,R$ 50875.93,36614.57,RECIFE,15,FALSE,meat
0314,192,R$ 14126.32,9619.6,FORTALEZA,3,FALSE,unknown
0315,206,R$ 76106.8,52498.75,RECIFE,15,TRUE,unknown
0316,181,R$ 34686.52,33393.07,FORTALEZA,13,FALSE,meat
0317,199,R$ 24811.98,16741.71,SAO LUIS,7,FALSE,meat
0318,133,R$ 8351.58,8007.27,SAO LUIS,5,FALSE,vegetable
0319,177,R$ 23872.4,17715.65,SAO LUIS,7,FALSE,meat
0320,166,R$ 7818.63,NA,SAO LUIS,5,TRUE,VEGETABLES
0321,175,R$ 16598.4,14214.57,FORTALEZA,4,TRUE,unknown
0322,168,R$ 12121.25,10354.79,SAO LUIS,7,FALSE,vegetable
0323,162,R$ 32677.52,23201.95,SAO LUIS,9,FALSE,meat
0324,207,R$ 40752.5,32383.46,NATAL,13,FALSE,meat
0325,139,R$ 16725.1,13979.26,NATAL,4,FALSE,unknown
0326,229,R$ 30240.58,27420.94,RECIFE,11,FALSE,meat
0327,231,R$ 36966.69,24699.71,NATAL,10,FALSE,meat
0328,174,R$ 34898.74,30928.03,NATAL,12,FALSE,meat
0329,164,R$ 26966.39,26654.64,SAO LUIS,8,FALSE,unknown
0330,187,R$ 46063.41,30772.46,FORTALEZA,12,FALSE,meat
0331,231,R$ 14508.05,12023.87,SAO LUIS,5,FALSE,meat
0332,262,R$ 43659.74,34260.85,RECIFE,10,FALSE,unknown
0333,232,R$ 26612.07,18760.87,RECIFE,13,FALSE,vegetable
0334,134,R$ 9645.07,8324.35,NATAL,2,NA,unknown
0335,180,R$ 35058.43,23857.67,RECIFE,7,TRUE,unknown
0336,172,R$ 26641.48,20696.81,SAO LUIS,8,FALSE,meat
0337,119,R$ 10049.39,9196.3,NATAL,4,FALSE,meat
0338,180,R$ 18945.03,13999.6,RECIFE,9,TRUE,vegetable
0339,186,R$ 37236.74,28684.87,RECIFE,11,TRUE,meat
0340,211,R$ 43752.01,30336.03,RECIFE,12,FALSE,meat
0341,180,R$ 46166.13,37359.58,NATAL,11,TRUE,unknown
0342,178,R$ 40551.05,31544.91,RECIFE,9,TRUE,unknown
0343,160,R$ 11796.77,9718.7,RECIFE,4,FALSE,meat
0344,162,R$ 13163.47,10315.76,RECIFE,3,FALSE,unknown
0345,143,R$ 15580.08,12183.84,FORTALEZA,3,FALSE,unknown
0346,148,R$ 12345.29,12273.38,SAO LUIS,4,FALSE,unknown
0347,275,R$ 61209.44,49565.68,SAO LUIS,14,FALSE,unknown
0348,182,R$ 25154.55,23542.58,NATAL,9,FALSE,meat
0349,177,R$ 36698.38,30961.12,RECIFE,12,TRUE,meat
0350,143,R$ 5256.65,4862.73,RECIFE,2,FALSE,meat
0351,183,R$ 20231.62,15189.17,SAO LUIS,10,TRUE,vegetable
0352,110,R$ 9917.27,8065.72,NATAL,2,FALSE,unknown
0353,142,R$ 6878.71,6275.04,NATAL,3,FALSE,meat
0354,166,R$ 20690.88,15063.17,RECIFE,6,FALSE,meat
0355,167,R$ 46269.8,32128.11,RECIFE,13,FALSE,meat
0356,160,R$ 13061.86,11392.04,NATAL,3,FALSE,unknown
0357,76,R$ 1637.94,1547.96,FORTALEZA,1,FALSE,vegetable
0358,187,R$ 20499.61,18996.99,RECIFE,8,FALSE,meat
0359,198,R$ 29661.41,23371.95,RECIFE,9,FALSE,meat
0360,240,R$ 61454.11,42884.8,RECIFE,12,FALSE,unknown
0361,222,R$ 34775.86,27833.73,FORTALEZA,11,FALSE,meat
0362,231,R$ 24259.97,16474.34,RECIFE,5,FALSE,unknown
0363,180,R$ 18607.22,12832.26,NATAL,4,FALSE,unknown
0364,178,R$ 27856.76,19150.6,RECIFE,8,FALSE,meat
0365,168,R$ 9884.04,7765.92,RECIFE,5,TRUE,vegetable
0366,181,R$ 34052.3,26851.91,RECIFE,11,TRUE,meat
0367,173,R$ 6807.83,5036.27,SAO LUIS,2,FALSE,meat
0368,190,R$ 34272.39,24384.89,FORTALEZA,10,FALSE,meat
0369,171,R$ 28099.14,19309.8,SAO LUIS,6,FALSE,unknown
0370,176,R$ 33240.57,27344.13,SAO LUIS,8,TRUE,unknown
0371,194,R$ 20679.88,19693.34,RECIFE,6,FALSE,unknown
0372,190,R$ 31776.64,30708.88,RECIFE,12,NA,meat
0373,167,R$ 9896.81,7191.76,SAO LUIS,5,TRUE,vegetable
0374,257,R$ 45345.97,32506.28,NATAL,13,FALSE,meat
0375,113,R$ 5851.05,5615.08,SAO LUIS,4,FALSE,vegetable
0376,179,R$ 20564.56,17231.05,RECIFE,7,FALSE,meat
0377,173,R$ 21156.17,17726.8,SAO LUIS,12,TRUE,vegetable
0378,499,R$ 75253,51526,SAO LUIS,15,FALSE,unknown
0379,274,R$ 32754.02,21944.53,FORTALEZA,15,FALSE,vegetable
0380,216,R$ 45023.77,38228.64,FORTALEZA,11,FALSE,unknown
0381,270,R$ 64445.58,43647.04,RECIFE,12,FALSE,unknown
0382,152,R$ 31257.99,24645.66,FORTALEZA,10,FALSE,meat
0383,186,R$ 14955.8,12612.95,NATAL,5,FALSE,meat
